"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Andre Jackson Jr.","Mil","G","23.1","29","18.5","11.8","25.3","13","0.538","52","0.423","51","0.353","0.476","0.483","3.6","3.2","1.5","0.7","0.2","1.2","6.8","5.1","8.3","5.6","94.4","101.6"
"","Tre Jones","San","G","25","14","16.6","10.8","17.5","17","0.765","28","0.5","14","0.214","0.44","0.505","3.6","2","3.9","0.7","0.3","0.6","5.6","7.5","9.5","7.3","124.5","109.2"
"","Bruno Fernando","Tor","F-C","26.4","16","8.9","19","22.5","8","0.75","48","0.542","0","0","0.542","0.563","3.6","3.1","1.1","0.3","0.6","0.9","6.8","4.8","7.9","10.4","107.8","99.7"
"","Patty Mills","Uta","G","36.4","9","15.3","12.3","20.3","3","1","7","0.571","24","0.292","0.468","0.495","3.6","0.9","1.4","0.7","0.2","0.9","4.4","5","5.9","4.3","97","119.5"
"","Cody Williams","Uta","F","20.1","19","19.2","11.3","16.3","14","0.643","35","0.4","42","0.238","0.377","0.403","3.5","2.3","1.2","0.4","0.3","0.8","5.8","4.7","7","4.4","88.1","117"
"","Jabari Walker","Por","F","22.4","24","10.3","16.2","14.6","18","0.722","54","0.556","22","0.182","0.474","0.506","3.5","3","0.5","0.3","0.1","0.5","6.5","4.1","7","6.7","103.9","108.7"
"","Jae'Sean Tate","Hou","F","29.2","15","8.3","17.3","17.7","17","0.706","30","0.633","7","0.143","0.554","0.596","3.5","2.2","0.7","0.6","0","0.5","5.7","4.2","6.4","8.4","115","86.8"
"","Jevon Carter","Chi","G","29.3","15","6.9","21","11.9","4","0.75","14","0.5","30","0.4","0.568","0.579","3.5","0.9","0.9","0.3","0","0.4","4.5","4.4","5.3","8.2","110","116.4"
"","Reed Sheppard","Hou","G","20.5","29","11.8","16.5","12.6","6","0.833","50","0.38","68","0.279","0.403","0.414","3.4","1.3","1.2","0.5","0.3","0.6","4.8","4.7","6","5.9","93","103.3"
"","Moussa Diabate","Cha","F","22.9","30","17.9","9","26.2","25","0.44","76","0.605","0","0","0.605","0.592","3.4","6.8","0.6","0.6","0.7","0.9","10.3","4.1","10.9","5.4","116.5","105.8"
"","Dario Saric","Den","F-C","30.7","10","13.6","16.6","21.4","6","0.833","21","0.333","19","0.263","0.363","0.399","3.4","3.5","1.1","0.6","0","1.1","6.9","4.5","8","6.9","84.2","105.6"
"","Jae Crowder","Sac","F","34.5","6","14.8","11.4","18.7","6","0.833","5","0.6","12","0.25","0.441","0.509","3.3","2.8","0.7","0.5","0","0.7","6.2","4","6.8","5","105.1","105.5"
"","Bol Bol","Pho","C-F","25.1","7","5.3","24.5","16.4","6","0.667","10","0.8","5","0.2","0.633","0.652","3.3","1.6","0.1","0","0","0.4","4.9","3.4","5","6.1","115.4","117.8"
"","Isaiah Collier","Uta","G","20.2","23","17.5","16.3","37.1","20","0.45","57","0.421","36","0.167","0.355","0.368","3.3","2.2","3.4","0.7","0.2","2.4","5.4","6.7","8.9","6.7","74.7","113.2"
"","Moses Brown","Ind","C","25.2","9","5.1","26.9","22.8","5","0.6","20","0.65","0","0","0.65","0.653","3.2","1.4","0","0.2","0.1","0.7","4.7","3.2","4.7","0","98.5","103.8"
"","Rayan Rupert","Por","G-F","20.6","25","9.9","14.8","16","16","0.75","37","0.541","31","0.29","0.493","0.526","3.2","1.4","0.5","0.3","0.1","0.5","4.6","3.7","5.1","5.3","105.1","117.1"
"","Johnny Davis","Was","G","22.8","21","8.9","15.3","6.2","11","0.636","40","0.525","20","0.3","0.5","0.517","3.2","1.5","0.4","0.6","0.3","0.2","4.7","3.6","5.1","5.6","107.5","113.4"
"","Nick Smith Jr.","Cha","G","20.7","14","8.9","18","5.7","2","0.5","22","0.364","27","0.333","0.439","0.441","3.1","0.8","0.7","0.3","0.1","0.2","3.9","3.9","4.6","5.4","97.8","113.7"
"","Jock Landale","Hou","C","29.2","18","9.7","16.1","16.6","19","0.526","43","0.419","7","0.429","0.45","0.471","3.1","2.7","0.8","0.2","0.4","0.6","5.7","3.8","6.5","7.8","103.5","102.1"
"","Pete Nance","Phi","F","24.9","1","2.9","15.1","0","0","0","0","0","1","1","1.5","1.5","3","1","0","0","0","0","4","3","4","0","0","0"
"","Quincy Olivari","Lal","G","23.6","1","8.2","21.4","25","0","0","0","0","3","0.333","0.5","0.5","3","0","0","0","0","1","3","3","3","0","69.1","124.4"
"","Oscar Tshiebwe","Uta","F-C","25.1","1","15.7","7.4","75.2","4","0.75","0","0","0","0","0","0.852","3","9","0","2","0","1","12","3","12","0","0","90.2"
"","Taze Moore","Por","G","26.5","2","10","26.9","16.4","2","0.5","6","0.167","4","0.25","0.25","0.276","3","4","0.5","1","0","1","7","3.5","7.5","7.3","71.1","117.3"
"","David Duke Jr.","San","G","25.2","1","8.2","25.6","0","2","0.5","3","0.333","1","0","0.25","0.307","3","0","2","0","0","0","3","5","5","0","88.5","109.8"
"","Richaun Holmes","Was","F","31.2","4","5.9","24.4","14.9","2","1","10","0.5","1","0","0.455","0.505","3","1.8","0","0","0.5","0.5","4.8","3","4.8","0","95.5","120.4"
"","Josh Minott","Min","F","22.1","18","7.4","16.1","10.8","7","0.714","23","0.739","18","0.278","0.598","0.613","3","1.4","0.6","0.5","0.3","0.3","4.4","3.6","5.1","7.4","120.6","96.4"
"","Collin Gillespie","Pho","G","25.5","1","3.5","25.3","0","0","0","1","0","1","1","0.75","0.75","3","0","0","0","0","0","3","3","3","0","0","0"
"","Vit Krejci","Atl","G","24.5","19","14","12.5","21","13","0.692","24","0.5","36","0.222","0.4","0.434","3","1.9","1.9","0.6","0.3","0.8","4.9","4.9","6.8","6.3","95.2","107.2"
"","Kobe Brown","Lac","F","25","7","6.7","19.1","0","2","0.5","14","0.571","6","0.167","0.475","0.479","2.9","2.3","0.6","0.1","0","0","5.1","3.4","5.7","9.5","117","100.1"
"","DeAndre Jordan","Den","C","36.4","19","10.5","12.6","24","13","0.308","41","0.634","0","0","0.634","0.599","2.9","3.8","0.8","0.3","0.5","0.7","6.8","3.8","7.6","7.9","110.3","102.7"
"","Johnny Furphy","Ind","G","20.1","20","10.3","14","14.2","7","1","22","0.409","32","0.344","0.472","0.508","2.9","1.5","0.5","0.4","0.3","0.5","4.4","3.4","4.8","5","102.8","112.2"
"","Ousmane Dieng","Okc","F","21.6","19","10.6","15.7","7.2","11","0.636","26","0.423","38","0.237","0.383","0.407","2.9","2.5","0.7","0.6","0.2","0.3","5.4","3.7","6.2","6.5","94.2","96.3"
"","Hunter Tyson","Den","F","24.5","21","9.5","12.6","16.9","15","0.867","19","0.579","25","0.32","0.523","0.583","2.8","1.9","0.5","0.2","0.1","0.4","4.7","3.3","5.2","5.8","113.1","106.8"
"","Drew Peterson","Bos","F","25.1","9","10.2","11.2","18.7","7","0.857","3","0.667","14","0.357","0.559","0.623","2.8","2","0.6","0.2","0.2","0.4","4.8","3.3","5.3","5.9","121.4","103"
"","Jeff Dowtin Jr.","Phi","G","27.6","10","9.7","13.2","7.3","5","0.8","16","0.563","9","0.222","0.48","0.515","2.8","1","1","0.3","0.1","0.2","3.8","3.8","4.8","5.8","115.1","112.9"
"","John Konchar","Mem","G","28.8","18","13.2","8.6","17.9","4","0.75","8","0.75","33","0.364","0.585","0.596","2.8","3.5","1.1","0.7","0.5","0.5","6.3","3.9","7.4","6.7","122.2","104.6"
"","Damion Lee","Pho","G-F","32.2","6","7.5","25.1","12.8","6","1","9","0.444","11","0.091","0.275","0.375","2.8","0.8","0.8","0.3","0","0.5","3.7","3.7","4.5","6.5","81.4","115.4"
"","Delon Wright","Mil","G","32.7","22","16.6","10.7","15.6","14","0.571","28","0.357","42","0.262","0.379","0.4","2.8","1.9","1.9","0.9","0.3","0.6","4.7","4.7","6.6","5.2","99.5","111.3"
"","TyTy Washington Jr.","Pho","G","23.1","3","8.9","11.6","14.3","0","0","3","0.333","3","0.667","0.667","0.667","2.7","0.3","1.3","0.7","0","0.3","3","4","4.3","4.6","129","120.8"
"","Brandon Williams","Dal","G","25.1","6","6.8","22.1","20.7","5","0.8","11","0.545","4","0","0.4","0.465","2.7","0.8","0.7","0.2","0","0.7","3.5","3.3","4.2","6.8","89","110"
"","Jalen Pickett","Den","G","25.2","7","9.4","12.8","20","0","0","4","0.5","12","0.417","0.594","0.594","2.7","1.1","2.4","0.1","0.1","0.6","3.9","5.1","6.3","8.2","124","110.9"
"","Jeff Green","Hou","F","38.3","9","6.1","15.6","9.9","2","0.5","7","0.714","11","0.364","0.611","0.609","2.6","0.8","0.1","0.2","0","0.2","3.3","2.7","3.4","3.9","114.3","104"
"","Taj Gibson","Cha","F","39.5","14","10.8","12.8","20.8","6","0.667","32","0.469","2","0.5","0.485","0.505","2.6","3.2","0.5","0.4","0.2","0.6","5.9","3.1","6.4","6","103.7","104.3"
"","Duop Reath","Por","C","28.5","15","6","16.4","3","6","0.667","8","0.5","24","0.375","0.547","0.563","2.6","0.9","0.3","0","0.1","0.1","3.5","2.9","3.8","5.9","124","112.9"
